id,_URI,instanceID,_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
39,uuid:3f0aa585-4621-46c5-9e9b-c0abd7f485b1,uuid:2f3949e4-2a8d-4b3e-b3e5-fca1c2d5f014,uuid:2f3949e4-2a8d-4b3e-b3e5-fca1c2d5f014,1,st,"",1,0,"","",ML_FH_Household_Full_G1
40,uuid:41e86d9f-56f7-41ac-977b-1fc6686551ca,uuid:a925cb52-7fb2-4d22-aea6-b01aa49a97f2,uuid:a925cb52-7fb2-4d22-aea6-b01aa49a97f2,1,st,"",2,1,2.8000000000,2,ML_FH_Household_Full_G1
41,uuid:423c0f13-a0df-47e1-bfc7-d48e373c7153,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1,1,st,"",1,0,"","",ML_FH_Household_Full_G1
42,uuid:427ca4e7-c544-49a7-8d8c-f6a41bdbc9fb,uuid:27e7b416-edad-4ef4-aecb-d77eed293802,uuid:27e7b416-edad-4ef4-aecb-d77eed293802,1,st,"",2,0,"","",ML_FH_Household_Full_G1
43,uuid:444997cc-f4bd-40d6-9fec-859f82047214,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,1,st,"",2,1,2.3000000000,2,ML_FH_Household_Full_G1
44,uuid:45d04223-b128-4fd1-a7f5-b8c8341ca42f,uuid:b91735d1-c979-443b-821e-dd95b85f2eab,uuid:b91735d1-c979-443b-821e-dd95b85f2eab,1,st,"",2,1,2.8000000000,2,ML_FH_Household_Full_G1
45,uuid:4784a1d5-c1f1-414a-9c09-791fbbb9e629,uuid:380df8e5-f0f7-4967-8984-23a18f5e3867,uuid:380df8e5-f0f7-4967-8984-23a18f5e3867,1,st,"",1,1,2.7000000000,2,ML_FH_Household_Full_G1
46,uuid:4ef4f59e-d4a9-42ae-9537-d9381a4d105c,uuid:9ecf6fb5-97a3-470e-bd44-eb332826fba5,uuid:9ecf6fb5-97a3-470e-bd44-eb332826fba5,1,st,"",2,1,4.0000000000,2,ML_FH_Household_Full_G1
47,uuid:513cd34b-5d4f-4a8b-a5fc-d0fbc727ea9c,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,1,st,"",2,1,2.6000000000,2,ML_FH_Household_Full_G1
48,uuid:52047802-76fa-4722-92cd-98efc72511c2,uuid:2030e17e-b5b0-449f-9007-30242d7842e3,uuid:2030e17e-b5b0-449f-9007-30242d7842e3,1,st,"",1,1,2.8000000000,2,ML_FH_Household_Full_G1
49,uuid:529f3b3b-2c57-4f0f-bb28-d89e8b1485e1,uuid:d3c6edd6-569d-4fd1-91d3-7d92a864345d,uuid:d3c6edd6-569d-4fd1-91d3-7d92a864345d,1,st,"",2,1,2.9000000000,2,ML_FH_Household_Full_G1
50,uuid:5a086b24-4556-4ec1-917e-bad55c739f91,uuid:1a08a39f-f2bf-4f9c-85ac-5d779da1d7da,uuid:1a08a39f-f2bf-4f9c-85ac-5d779da1d7da,1,st,"",2,1,3.6000000000,2,ML_FH_Household_Full_G1
51,uuid:5bc73e89-a14e-4094-83ca-e1061a4b265d,uuid:2976da39-bbc3-450d-a889-40a417a6dc10,uuid:2976da39-bbc3-450d-a889-40a417a6dc10,1,st,"",2,1,3.0000000000,2,ML_FH_Household_Full_G1
52,uuid:5fd8356f-e86f-423c-84f8-b7443a63a1f7,uuid:9e7315db-6f24-479c-9378-6bc94979004a,uuid:9e7315db-6f24-479c-9378-6bc94979004a,1,st,"",2,1,4.6000000000,2,ML_FH_Household_Full_G1
53,uuid:6116ab93-b5f4-41bb-9da8-e690c0d72196,uuid:463a077c-4fe3-4bf1-9c44-e10c7ea143af,uuid:463a077c-4fe3-4bf1-9c44-e10c7ea143af,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
54,uuid:6362c258-83fd-4f94-a49a-fc2d2c5bf9ac,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6~0,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6~0,1,st,"",1,0,"","",ML_FH_Household_Full_G1
55,uuid:6535334a-54d8-493b-be95-f0de3b92ac64,uuid:73a734aa-b017-445d-91f6-891449d900de,uuid:73a734aa-b017-445d-91f6-891449d900de,1,st,"",2,1,3.6000000000,2,ML_FH_Household_Full_G1
56,uuid:65b01d2a-2741-4b22-ac14-19003dde0d91,uuid:e998463e-1bcd-4e28-9cde-f14c63bd88ef,uuid:e998463e-1bcd-4e28-9cde-f14c63bd88ef,1,st,"",2,1,3.0000000000,2,ML_FH_Household_Full_G1
57,uuid:68f1db55-1134-4c0a-9829-a1257be8a9a3,uuid:bcd04763-c4f8-43bd-8420-9f0c1fc4dfeb,uuid:bcd04763-c4f8-43bd-8420-9f0c1fc4dfeb,1,st,"",2,0,"","",ML_FH_Household_Full_G1
58,uuid:718233b6-bfac-4ee8-9af9-2c58f1286cf6,uuid:0dd3255a-b957-47eb-bf41-f093730c9382,uuid:0dd3255a-b957-47eb-bf41-f093730c9382,1,st,"",2,1,3.0000000000,2,ML_FH_Household_Full_G1
59,uuid:71a59882-57c1-4311-9071-e4a89cfb7db6,uuid:a678cf2e-1f0c-4c91-a7a4-6c2ebbe05dcd,uuid:a678cf2e-1f0c-4c91-a7a4-6c2ebbe05dcd,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
60,uuid:729fbe14-bbb4-4308-8634-e9a5f6b64505,uuid:400518a7-adf4-4e8d-b56b-6ffe6a3d55d7,uuid:400518a7-adf4-4e8d-b56b-6ffe6a3d55d7,1,st,"",2,0,"","",ML_FH_Household_Full_G1
61,uuid:73420721-75f2-415d-8a12-97275c710a25,uuid:ff8dafd3-bf2e-4342-b242-2a5ada351a5c,uuid:ff8dafd3-bf2e-4342-b242-2a5ada351a5c,1,st,"",2,1,1.9500000000,2,ML_FH_Household_Full_G1
62,uuid:7377d917-218b-44fa-9330-ad0b04b1a8f3,uuid:b92af4d0-878d-459f-8b66-eacd9ba9136a,uuid:b92af4d0-878d-459f-8b66-eacd9ba9136a,1,st,"",1,1,3.2000000000,2,ML_FH_Household_Full_G1
63,uuid:7703c361-54e8-4cd9-9c1b-13ec2e82ca0a,uuid:7e43243b-0cd2-42b3-9c2d-81b89f5dbf5f,uuid:7e43243b-0cd2-42b3-9c2d-81b89f5dbf5f,1,st,"",1,1,2.9000000000,2,ML_FH_Household_Full_G1
64,uuid:7bd9d19e-dcb4-4207-ac82-704b72c42836,uuid:02beca0c-6c6f-474e-a54c-e4fc943ec4de,uuid:02beca0c-6c6f-474e-a54c-e4fc943ec4de,1,st,"",2,1,2.7000000000,2,ML_FH_Household_Full_G1
65,uuid:7f8efb0a-c215-4af1-8e53-56ed000899da,uuid:7fe2ac0e-0f93-4d95-9cb9-5e2ff1f3db49,uuid:7fe2ac0e-0f93-4d95-9cb9-5e2ff1f3db49,1,st,"",1,1,3.5000000000,1,ML_FH_Household_Full_G1
66,uuid:80b5f78d-f4b8-415c-94bd-3b4cb255f2f2,uuid:b971fa5c-a3dd-49cd-a525-d3cb611604f4,uuid:b971fa5c-a3dd-49cd-a525-d3cb611604f4,1,st,"",1,1,2.9000000000,2,ML_FH_Household_Full_G1
67,uuid:834280a4-6d46-4cb9-a2cc-50639b92c925,uuid:624761ba-7591-4e6c-8950-82b7079fe71f,uuid:624761ba-7591-4e6c-8950-82b7079fe71f,1,st,"",2,1,2.7000000000,2,ML_FH_Household_Full_G1
68,uuid:840182a4-d645-462a-92f4-e0c88f6daa16,uuid:c1f1d4d3-bb40-4387-9297-1e1485724926,uuid:c1f1d4d3-bb40-4387-9297-1e1485724926,1,st,"",2,0,"","",ML_FH_Household_Full_G1
69,uuid:8574afef-ee0c-4bf5-8fc3-8865b291ad77,uuid:bfecc528-1322-496e-b532-3d5481942537,uuid:bfecc528-1322-496e-b532-3d5481942537,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
